pID;participant;Aa_languge;Ba_participant_age;Bb_participant_gender;Bc_participant_nationality;Bd_participant_langlevel;Be_participant_musiclevel;Bf_participant_setvolume;Bg_soundcalibration;Bg_sc_2nopp;Ea_headphones;Eb_noise;Ec_RTAsc;Ec_RTDsc;Ca_NumORd;Ca_num;Cb_id;Cc_filename;Cc_newfilename;Cd_link;Ce_item_block;Ce_snrlevel;Cf_category;Cg_subcategory;Ch_visualload;Ci_condition;Da_clipdBThreshold;order;asc_avgLUFS;acs_medLUFS;des_avgLUFS;des_medLUFS;Ef_comments;X_totaltime;X_Origen
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;44;44;11659;11659-es_la1_20210629_201633.mp4;es_asc_44-11659.mp4;https://drive.google.com/uc?id=1jbB5YdJFss7czmphLGR0ICm5k_6mOE_g&export=download;A;20,4;tv contest;masterchef;4;cuando <mark>empiece</mark> a oir la música;-26.355;1_6_0_0_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;68;68;10385;10385-es_antena3_20210703_164255.mp4;es_asc_68-10385.mp4;https://drive.google.com/uc?id=1lMAO_gZZt_HVxNQSjzxBl00FepOTy0Ov&export=download;A;10,9;advertisement;travel;3;cuando <mark>empiece</mark> a oir la música;-21.774;1_6_0_1_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;60;60A;11174;11174-es_cuatro_20210705_170351.mp4;es_asc_60-11174.mp4;https://drive.google.com/uc?id=1upjS84vSDCIANCX98sFycytyIC_a_Q76&export=download;A;15,9;talk show;discussion of recent news;0;cuando <mark>empiece</mark> a oir la música;-33.399;1_6_0_2_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;28;28B;10482;10482-es_antena3_20210704_101811.mp4;es_asc_28-10482.mp4;https://drive.google.com/uc?id=12lE1PyqE1Uz_Oq_-X_EZb9oZIonvrAp2&export=download;A;7,2;tv contest;la voz kids;5;cuando <mark>empiece</mark> a oir la música;-36.804;1_6_0_3_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;4;4;10009;10009-es_antena3_20210703_003530.mp4;es_asc_04-10009.mp4;https://drive.google.com/uc?id=1cSXP7WrA9dZ-YwCMHANI7VEeRDV-Z6vH&export=download;A;11,6;tv contest;infant singing talent;5;cuando <mark>empiece</mark> a oir la música;-24.921;1_6_0_4_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;52;52;11647;11647-es_la1_20210629_190239.mp4;es_asc_52-11647.mp4;https://drive.google.com/uc?id=1XJ9aqjArxHFwC1s9bhfsCDnt39enpyz2&export=download;A;11,5;news;;4;cuando <mark>empiece</mark> a oir la música;-29.277;1_6_0_5_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;38;38B;11585;11585-es_la1_20210629_130215.mp4;es_asc_38-11585.mp4;https://drive.google.com/uc?id=1_LVaYu1i7wi1tQrAHmDMNVr8gDqxxitT&export=download;A;10,7;news;;0;cuando <mark>empiece</mark> a oir la música;-15.405000000000001;1_6_0_6_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;24;24;10123;10123-es_antena3_20210703_100112.mp4;es_asc_24-10123.mp4;https://drive.google.com/uc?id=1hXeu5Xy1dm996VHKuQxIQKnrPvx9FxFz&export=download;A;11,8;advertisement;food;6;cuando <mark>empiece</mark> a oir la música;-30.119999999999997;1_6_0_7_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;9;9;20696;10751-es_cuatro_20210705_012950.mp4;es_asc_09-10751.mp4;https://drive.google.com/uc?id=1qZwIB2C1HmAwb6njVmrNCMdegDeAgyiL&export=download;A;26,4;talk show;cuarto milenio;3;cuando <mark>empiece</mark> a oir la música;-28.611;1_6_0_8_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
1;ANOIA;en;19;male;Española;native;menthusiast;24;1.0;no;on-site;weak;after;random-noidea;72;72;12755;12755-es_lasexta_20210706_094219.mp4;es_asc_72-12755.mp4;https://drive.google.com/uc?id=1pnCQSepSL_4b-wFF7assayLRwWXe-CKW&export=download;A;21,6;talk show;discussion about recent news;3;cuando <mark>empiece</mark> a oir la música;-20.268;1_6_0_9_2;-26.822478260869556;-28.329;-36.694125;-36.7185;Veo muy interesante el juego que tiene la música de fondo en nuestro día a día y, especialmente, en como puede modificar nuestra percepción de aquello que estamos viendo, por lo que veo muy importante experimentos como estos.;10.724863316666543;local
